timestamp,speed,acceleration,gradient,acc_x,acc_y,acc_z,jerk,turning_rate,energy_factor,driver_cluster
1747223066.0,0.070376,-5.556000000000005,0.0,-1.035156,-0.996094,9.691406,0.0,0.001953,207064503.70166603,1
1747223067.0,0.061116,-9.259999999999998,0.0,-0.996094,-0.996094,9.648438,0.0,0.0,207064430.32415172,1
1747223068.0,0.062968,1.8519999999999994,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207064714.81876922,1
1747223069.0,0.0463,-16.667999999999996,0.0,-0.996094,-0.996094,9.648438,0.0,0.0,207064343.7892654,1
1747223070.0,0.072228,25.928,0.0,-0.996094,-0.996094,9.609375,0.0,0.001953,207065447.0236769,1
1747223071.0,0.051856,-20.372,0.0,-0.957031,-0.996094,9.609375,0.0,0.001953,207064225.46698436,1
1747223072.0,0.029632,-22.224,-0.8419930151033705,-0.957031,-0.996094,9.648438,0.0,0.0,207064311.68249992,1
1747223073.0,0.437072,407.44,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207138886.36466846,1
1747223074.0,0.133344,-303.728,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207047794.84040564,1
1747223075.0,0.0926,-40.743999999999986,0.0,-0.957031,-0.996094,9.648438,0.0,0.001953,207063095.76370433,1
1747223076.0,0.024076,-68.524,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207063976.7519102,1
1747223077.0,0.16668,142.604,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207074575.5872969,1
1747223078.0,0.044448,-122.23199999999999,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207062401.50771466,1
1747223079.0,0.072228,27.779999999999998,0.0,-0.957031,-0.996094,9.609375,0.0,0.001953,207065502.7596169,1
1747223080.0,0.042596,-29.631999999999998,0.0,-0.996094,-0.996094,9.648438,0.0,0.0,207064139.2273306,1
1747223081.0,0.109268,66.67200000000001,-0.842009855300479,-0.957031,-0.996094,9.648438,0.0,0.001953,207067415.11583123,1
1747223082.0,0.048152,-61.116,0.0,-0.957031,-0.996094,9.648438,0.0,0.001953,207063439.25049615,1
1747223083.0,0.007408,-40.744,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207064537.51299423,1
1747223084.0,0.01852,11.111999999999998,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207064749.61420485,1
1747223085.0,0.031484,12.964,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207064834.62155294,1
1747223086.0,0.105564,74.08000000000001,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207067926.90071553,1
1747223087.0,0.024076,-81.488,0.0,-0.996094,-0.996094,9.648438,0.0,0.0,207063846.70138353,1
1747223088.0,0.035188,11.111999999999997,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207064827.67274103,1
1747223089.0,0.059264,24.076,0.0,-0.957031,-0.996094,9.609375,0.0,0.0,207065260.54833424,1
1747223090.0,0.061116,1.8519999999999994,0.5613399036998528,-0.957031,-0.996094,9.609375,0.0,0.0,207064835.15651935,1
1747223091.0,0.211128,150.012,0.0,-0.957031,-0.996094,9.609375,0.0,0.0,207077870.65703395,1
1747223092.0,0.075932,-135.196,0.0,-0.957031,-0.996094,9.609375,0.0,0.0,207060389.5412254,1
1747223093.0,0.066672,-9.260000000000003,0.0,-0.996094,-0.996094,9.609375,0.0,0.0,207064409.18248427,1
1747223094.0,0.079636,12.964000000000002,0.0,-0.996094,-1.035156,9.648438,0.0,0.0,207065097.28128728,1
1747223095.0,0.096304,16.668000000000003,0.0,-0.957031,-0.996094,9.648438,0.0,0.0,207065336.83113983,1
1747223096.0,0.01852,-77.784,0.0,-0.996094,-1.035156,9.609375,0.0,0.0,207064063.63340485,1
1747223097.0,0.062968,44.448,0.0,-0.996094,-1.035156,9.609375,0.0,0.0,207065832.39582255,1
1747223098.0,0.094452,31.483999999999998,0.0,-1.035156,-1.035156,9.648438,0.0,0.001953,207065906.95426875,1
1747223099.0,0.070376,-24.076,0.0,-0.996094,-1.035156,9.648438,0.0,0.0,207063960.63353267,1
1747223100.0,0.072228,1.8520000000000063,0.0,-0.996094,-0.996094,9.609375,0.0,0.0,207064722.4564569,1
1747223101.0,0.081488,9.260000000000003,0.0,-0.996094,-1.035156,9.609375,0.0,0.0,207064981.62043825,1
1747223102.0,0.142604,61.116,0.0,-0.996094,-1.035156,9.648438,0.0,0.001953,207068301.87100348,1
